"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 15:38:53 BRT 2023","Wed May 03 15:38:55 BRT 2023","2184","","WebdriverUniversity - Contact Us Page","","","","Validate contact us page (example #3)",""
"passed","Wed May 03 15:38:40 BRT 2023","Wed May 03 15:38:42 BRT 2023","2036","","WebdriverUniversity - Contact Us Page","","","","Invalid Contact Us Form Submission",""
"passed","Wed May 03 15:38:49 BRT 2023","Wed May 03 15:38:53 BRT 2023","3602","","WebdriverUniversity - Contact Us Page","","","","Validate contact us page (example #2)",""
"passed","Wed May 03 15:39:02 BRT 2023","Wed May 03 15:39:03 BRT 2023","1205","","WebdriverUniversity - Login Portal Page","","","","Login Successful (example #2)",""
"passed","Wed May 03 15:38:32 BRT 2023","Wed May 03 15:38:40 BRT 2023","7118","","WebdriverUniversity - Contact Us Page","","","","Valid Contact Us Form Submission",""
"passed","Wed May 03 15:38:46 BRT 2023","Wed May 03 15:38:49 BRT 2023","3162","","WebdriverUniversity - Contact Us Page","","","","Validate contact us page (example #1)",""
"passed","Wed May 03 15:38:42 BRT 2023","Wed May 03 15:38:46 BRT 2023","4469","","WebdriverUniversity - Contact Us Page","","","","Valid Contact Us Form Submission - Using Specific data",""
"passed","Wed May 03 15:38:59 BRT 2023","Wed May 03 15:39:02 BRT 2023","2931","","WebdriverUniversity - Login Portal Page","","","","Login Successful (example #1)",""
